Country,Event month,Sub-Event Type,Events
Mexico,2024-07-01,Abduction/forced disappearance,26
Mexico,2024-07-01,Air/drone strike,5
Mexico,2024-07-01,Armed clash,133
Mexico,2024-07-01,Attack,504
Mexico,2024-07-01,Grenade,0
Mexico,2024-07-01,Sexual violence,3
Mexico,2024-07-01,Remote explosive/landmine/IED,0
Mexico,2024-08-01,Abduction/forced disappearance,12
Mexico,2024-08-01,Air/drone strike,4
Mexico,2024-08-01,Armed clash,106
Mexico,2024-08-01,Attack,463
Mexico,2024-08-01,Grenade,4
Mexico,2024-08-01,Sexual violence,9
Mexico,2024-08-01,Remote explosive/landmine/IED,3
Mexico,2024-09-01,Abduction/forced disappearance,20
Mexico,2024-09-01,Air/drone strike,2
Mexico,2024-09-01,Armed clash,140
Mexico,2024-09-01,Attack,448
Mexico,2024-09-01,Grenade,0
Mexico,2024-09-01,Sexual violence,1
Mexico,2024-09-01,Remote explosive/landmine/IED,3
Mexico,2024-10-01,Abduction/forced disappearance,37
Mexico,2024-10-01,Air/drone strike,3
Mexico,2024-10-01,Armed clash,157
Mexico,2024-10-01,Attack,529
Mexico,2024-10-01,Grenade,2
Mexico,2024-10-01,Sexual violence,4
Mexico,2024-10-01,Remote explosive/landmine/IED,4
Mexico,2024-11-01,Abduction/forced disappearance,28
Mexico,2024-11-01,Air/drone strike,6
Mexico,2024-11-01,Armed clash,129
Mexico,2024-11-01,Attack,478
Mexico,2024-11-01,Grenade,1
Mexico,2024-11-01,Sexual violence,4
Mexico,2024-11-01,Remote explosive/landmine/IED,0
Mexico,2024-12-01,Abduction/forced disappearance,24
Mexico,2024-12-01,Air/drone strike,8
Mexico,2024-12-01,Armed clash,127
Mexico,2024-12-01,Attack,398
Mexico,2024-12-01,Grenade,1
Mexico,2024-12-01,Sexual violence,2
Mexico,2024-12-01,Remote explosive/landmine/IED,2
