Country,Event month,Sub-Event Type,Fatalities
Mexico,2024-07-01,Abduction/forced disappearance,0
Mexico,2024-07-01,Air/drone strike,0
Mexico,2024-07-01,Armed clash,116
Mexico,2024-07-01,Attack,605
Mexico,2024-07-01,Grenade,0
Mexico,2024-07-01,Sexual violence,5
Mexico,2024-07-01,Remote explosive/landmine/IED,0
Mexico,2024-08-01,Abduction/forced disappearance,0
Mexico,2024-08-01,Air/drone strike,7
Mexico,2024-08-01,Armed clash,127
Mexico,2024-08-01,Attack,515
Mexico,2024-08-01,Grenade,0
Mexico,2024-08-01,Sexual violence,10
Mexico,2024-08-01,Remote explosive/landmine/IED,0
Mexico,2024-09-01,Abduction/forced disappearance,0
Mexico,2024-09-01,Air/drone strike,0
Mexico,2024-09-01,Armed clash,164
Mexico,2024-09-01,Attack,579
Mexico,2024-09-01,Grenade,0
Mexico,2024-09-01,Sexual violence,1
Mexico,2024-09-01,Remote explosive/landmine/IED,0
Mexico,2024-10-01,Abduction/forced disappearance,0
Mexico,2024-10-01,Air/drone strike,1
Mexico,2024-10-01,Armed clash,187
Mexico,2024-10-01,Attack,665
Mexico,2024-10-01,Grenade,0
Mexico,2024-10-01,Sexual violence,3
Mexico,2024-10-01,Remote explosive/landmine/IED,1
Mexico,2024-11-01,Abduction/forced disappearance,0
Mexico,2024-11-01,Air/drone strike,0
Mexico,2024-11-01,Armed clash,129
Mexico,2024-11-01,Attack,618
Mexico,2024-11-01,Grenade,0
Mexico,2024-11-01,Sexual violence,9
Mexico,2024-11-01,Remote explosive/landmine/IED,0
Mexico,2024-12-01,Abduction/forced disappearance,0
Mexico,2024-12-01,Air/drone strike,2
Mexico,2024-12-01,Armed clash,101
Mexico,2024-12-01,Attack,477
Mexico,2024-12-01,Grenade,0
Mexico,2024-12-01,Sexual violence,2
Mexico,2024-12-01,Remote explosive/landmine/IED,4
